Card on the Table: ; Cards in Hand: ; Possible Move: ; Applicable rule: 
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Yellow 4;Any card can be played on a Wild Normal
Yellow 2 ; Red 1, Wild Draw 4, Yellow 8, Blue 1, Green 4, Red 4, Red Skip ;Wild Draw 4;Wild cards can be played on any colour
Yellow 2 ; Red 1, Wild Draw 4, Yellow 8, Blue 1, Green 4, Red 4, Red Skip ;Yellow 8;it is the same color as the tabled card
Wild Draw 4 ; Blue 7, Red 2, Red 3, Red Reverse, Red 7, Green 1, Green Draw 2 ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Yellow 0 ; Red Draw 2, Red 3, Wild Draw 4, Blue Draw 2, Red Reverse, Yellow 3, Green 8 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 0 ; Red Draw 2, Red 3, Wild Draw 4, Blue Draw 2, Red Reverse, Yellow 3, Green 8 ;Yellow 3;it is the same color as the tabled card
Blue 0 ; Yellow 5, Green Draw 2, Red Draw 2, Wild Draw 4, Yellow 3, Green 6, Green 3 ;Wild Draw 4;Wild cards can be played on any colour
Red Reverse ; Wild Draw 4, Red Reverse, Blue 6, Red 7, Blue 4, Blue 0, Red 5 ;Wild Draw 4;Wild cards can be played on any colour
Red Reverse ; Wild Draw 4, Red Reverse, Blue 6, Red 7, Blue 4, Blue 0, Red 5 ;Red Reverse;it is the same color as the tabled card
Red Reverse ; Wild Draw 4, Red Reverse, Blue 6, Red 7, Blue 4, Blue 0, Red 5 ;Red 7;it is the same color as the tabled card
Red Reverse ; Wild Draw 4, Red Reverse, Blue 6, Red 7, Blue 4, Blue 0, Red 5 ;Red 5;it is the same color as the tabled card
Wild Draw 4 ; Green Skip, Blue Reverse, Yellow 3, Green 0, Yellow 9, Blue 8, Green 5 ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Green 7 ; Red 2, Yellow Draw 2, Green Skip, Green 0, Red 6, Red 3, Yellow Skip ;Green Skip;it is the same color as the tabled card
Green 7 ; Red 2, Yellow Draw 2, Green Skip, Green 0, Red 6, Red 3, Yellow Skip ;Green 0;it is the same color as the tabled card
Green 6 ; Yellow 8, Green 2, Blue 7, Yellow 6, Yellow 5, Yellow Skip, Green 7 ;Green 2;it is the same color as the tabled card
Green 6 ; Yellow 8, Green 2, Blue 7, Yellow 6, Yellow 5, Yellow Skip, Green 7 ;Yellow 6;it is the same type as the tabled card
Green 6 ; Yellow 8, Green 2, Blue 7, Yellow 6, Yellow 5, Yellow Skip, Green 7 ;Green 7;it is the same color as the tabled card
Blue Draw 2 ; Green 3, Blue 8, Green 9, Red 5, Yellow 0, Blue 9, Yellow 4 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Yellow 2 ; Red 9, Red 6, Yellow Draw 2, Green 2, Blue Reverse, Blue 7, Blue 8 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 2 ; Red 9, Red 6, Yellow Draw 2, Green 2, Blue Reverse, Blue 7, Blue 8 ;Green 2;it is the same type as the tabled card
Green Reverse ; Blue Skip, Blue 5, Blue 3, Green 4, Green Draw 2, Red 9, Red 4 ;Green 4;it is the same color as the tabled card
Green Reverse ; Blue Skip, Blue 5, Blue 3, Green 4, Green Draw 2, Red 9, Red 4 ;Green Draw 2;it is the same color as the tabled card
Red 5 ; Blue 5, Green 4, Blue 6, Green 9, Green 3, Blue 5, Yellow 9 ;Blue 5;it is the same type as the tabled card
Red 5 ; Blue 5, Green 4, Blue 6, Green 9, Green 3, Blue 5, Yellow 9 ;Blue 5;it is the same type as the tabled card
Red 1 ; Blue 4, Green 7, Green Draw 2, Red Draw 2, Red 8, Yellow 8, Yellow 2 ;Red Draw 2;it is the same color as the tabled card
Red 1 ; Blue 4, Green 7, Green Draw 2, Red Draw 2, Red 8, Yellow 8, Yellow 2 ;Red 8;it is the same color as the tabled card
Red 4 ; Blue 2, Green Reverse, Blue Reverse, Red 6, Red 3, Yellow Skip, Yellow Draw 2 ;Red 6;it is the same color as the tabled card
Red 4 ; Blue 2, Green Reverse, Blue Reverse, Red 6, Red 3, Yellow Skip, Yellow Draw 2 ;Red 3;it is the same color as the tabled card
Yellow Draw 2 ; Blue 6, Blue 2, Blue 1, Yellow 6, Green 7, Red 3, Yellow Draw 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Green 1 ; Red 7, Red 0, Blue 1, Red 9, Yellow Draw 2, Green Reverse, Blue Draw 2 ;Blue 1;it is the same type as the tabled card
Green 1 ; Red 7, Red 0, Blue 1, Red 9, Yellow Draw 2, Green Reverse, Blue Draw 2 ;Green Reverse;it is the same color as the tabled card
Blue 8 ; Green 4, Yellow Reverse, Blue 7, Wild Normal, Yellow Skip, Blue Draw 2, Blue 3 ;Blue 7;it is the same color as the tabled card
Blue 8 ; Green 4, Yellow Reverse, Blue 7, Wild Normal, Yellow Skip, Blue Draw 2, Blue 3 ;Wild Normal;Wild cards can be played on any colour
Blue 8 ; Green 4, Yellow Reverse, Blue 7, Wild Normal, Yellow Skip, Blue Draw 2, Blue 3 ;Blue Draw 2;it is the same color as the tabled card
Blue 8 ; Green 4, Yellow Reverse, Blue 7, Wild Normal, Yellow Skip, Blue Draw 2, Blue 3 ;Blue 3;it is the same color as the tabled card
Yellow 3 ; Green 4, Blue Draw 2, Red 8, Yellow 5, Blue 4, Red 9, Green 3 ;Yellow 5;it is the same color as the tabled card
Yellow 3 ; Green 4, Blue Draw 2, Red 8, Yellow 5, Blue 4, Red 9, Green 3 ;Green 3;it is the same type as the tabled card
Green 6 ; Blue 9, Wild Draw 4, Yellow 4, Red 6, Wild Normal, Wild Normal, Red Skip ;Wild Draw 4;Wild cards can be played on any colour
Green 6 ; Blue 9, Wild Draw 4, Yellow 4, Red 6, Wild Normal, Wild Normal, Red Skip ;Red 6;it is the same type as the tabled card
Green 6 ; Blue 9, Wild Draw 4, Yellow 4, Red 6, Wild Normal, Wild Normal, Red Skip ;Wild Normal;Wild cards can be played on any colour
Green 6 ; Blue 9, Wild Draw 4, Yellow 4, Red 6, Wild Normal, Wild Normal, Red Skip ;Wild Normal;Wild cards can be played on any colour
Wild Draw 4 ; Red 1, Green 8, Green 5, Yellow 6, Blue 1, Green 5, Green Reverse ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Blue 0 ; Yellow 5, Blue 3, Green 7, Red Reverse, Blue 4, Red 5, Blue 5 ;Blue 3;it is the same color as the tabled card
Blue 0 ; Yellow 5, Blue 3, Green 7, Red Reverse, Blue 4, Red 5, Blue 5 ;Blue 4;it is the same color as the tabled card
Blue 0 ; Yellow 5, Blue 3, Green 7, Red Reverse, Blue 4, Red 5, Blue 5 ;Blue 5;it is the same color as the tabled card
Yellow 3 ; Red 9, Red 2, Blue 0, Yellow Skip, Blue 6, Yellow 9, Yellow 4 ;Yellow Skip;it is the same color as the tabled card
Yellow 3 ; Red 9, Red 2, Blue 0, Yellow Skip, Blue 6, Yellow 9, Yellow 4 ;Yellow 9;it is the same color as the tabled card
Yellow 3 ; Red 9, Red 2, Blue 0, Yellow Skip, Blue 6, Yellow 9, Yellow 4 ;Yellow 4;it is the same color as the tabled card
Red 6 ; Green 4, Blue 9, Red 8, Yellow 3, Yellow 8, Yellow 9, Yellow 3 ;Red 8;it is the same color as the tabled card
Blue 1 ; Blue Reverse, Yellow 9, Blue Reverse, Red 4, Yellow 4, Blue 5, Yellow 2 ;Blue Reverse;it is the same color as the tabled card
Blue 1 ; Blue Reverse, Yellow 9, Blue Reverse, Red 4, Yellow 4, Blue 5, Yellow 2 ;Blue Reverse;it is the same color as the tabled card
Blue 1 ; Blue Reverse, Yellow 9, Blue Reverse, Red 4, Yellow 4, Blue 5, Yellow 2 ;Blue 5;it is the same color as the tabled card
Blue 9 ; Red Draw 2, Red 0, Green Draw 2, Blue 8, Yellow 4, Red 6, Red 5 ;Blue 8;it is the same color as the tabled card
Blue 1 ; Green 1, Wild Draw 4, Green Reverse, Green 8, Yellow Draw 2, Blue 4, Red 9 ;Green 1;it is the same type as the tabled card
Blue 1 ; Green 1, Wild Draw 4, Green Reverse, Green 8, Yellow Draw 2, Blue 4, Red 9 ;Wild Draw 4;Wild cards can be played on any colour
Blue 1 ; Green 1, Wild Draw 4, Green Reverse, Green 8, Yellow Draw 2, Blue 4, Red 9 ;Blue 4;it is the same color as the tabled card
Red 2 ; Yellow 0, Red Skip, Red 9, Red 9, Yellow 1, Blue Reverse, Yellow Reverse ;Red Skip;it is the same color as the tabled card
Red 2 ; Yellow 0, Red Skip, Red 9, Red 9, Yellow 1, Blue Reverse, Yellow Reverse ;Red 9;it is the same color as the tabled card
Red 2 ; Yellow 0, Red Skip, Red 9, Red 9, Yellow 1, Blue Reverse, Yellow Reverse ;Red 9;it is the same color as the tabled card
Blue 2 ; Red 0, Green 6, Green 3, Green 6, Blue 8, Yellow 1, Blue 4 ;Blue 8;it is the same color as the tabled card
Blue 2 ; Red 0, Green 6, Green 3, Green 6, Blue 8, Yellow 1, Blue 4 ;Blue 4;it is the same color as the tabled card
Blue 5 ; Blue Skip, Wild Normal, Red 4, Blue Reverse, Green 8, Green 1, Yellow 0 ;Blue Skip;it is the same color as the tabled card
Blue 5 ; Blue Skip, Wild Normal, Red 4, Blue Reverse, Green 8, Green 1, Yellow 0 ;Wild Normal;Wild cards can be played on any colour
Blue 5 ; Blue Skip, Wild Normal, Red 4, Blue Reverse, Green 8, Green 1, Yellow 0 ;Blue Reverse;it is the same color as the tabled card
Red 6 ; Red 4, Blue 7, Red 1, Yellow Skip, Green 5, Red 5, Green 3 ;Red 4;it is the same color as the tabled card
Red 6 ; Red 4, Blue 7, Red 1, Yellow Skip, Green 5, Red 5, Green 3 ;Red 1;it is the same color as the tabled card
Red 6 ; Red 4, Blue 7, Red 1, Yellow Skip, Green 5, Red 5, Green 3 ;Red 5;it is the same color as the tabled card
Red 5 ; Red Reverse, Green 0, Green 8, Blue Reverse, Green 8, Red 1, Green 3 ;Red Reverse;it is the same color as the tabled card
Red 5 ; Red Reverse, Green 0, Green 8, Blue Reverse, Green 8, Red 1, Green 3 ;Red 1;it is the same color as the tabled card
Wild Draw 4 ; Green 7, Yellow 8, Red 9, Blue 8, Wild Draw 4, Blue Draw 2, Blue 2 ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Green 8 ; Blue 8, Red 6, Green 0, Yellow 9, Green 9, Blue 1, Wild Draw 4 ;Blue 8;it is the same type as the tabled card
Green 8 ; Blue 8, Red 6, Green 0, Yellow 9, Green 9, Blue 1, Wild Draw 4 ;Green 0;it is the same color as the tabled card
Green 8 ; Blue 8, Red 6, Green 0, Yellow 9, Green 9, Blue 1, Wild Draw 4 ;Green 9;it is the same color as the tabled card
Green 8 ; Blue 8, Red 6, Green 0, Yellow 9, Green 9, Blue 1, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Red 5 ; Yellow 4, Yellow 8, Red 0, Red 9, Green Reverse, Green 7, Blue Draw 2 ;Red 0;it is the same color as the tabled card
Red 5 ; Yellow 4, Yellow 8, Red 0, Red 9, Green Reverse, Green 7, Blue Draw 2 ;Red 9;it is the same color as the tabled card
Blue 8 ; Yellow 5, Yellow 1, Blue 8, Blue 1, Green Skip, Blue Reverse, Red 1 ;Blue 8;it is the same color as the tabled card
Blue 8 ; Yellow 5, Yellow 1, Blue 8, Blue 1, Green Skip, Blue Reverse, Red 1 ;Blue 1;it is the same color as the tabled card
Blue 8 ; Yellow 5, Yellow 1, Blue 8, Blue 1, Green Skip, Blue Reverse, Red 1 ;Blue Reverse;it is the same color as the tabled card
Red 1 ; Yellow 7, Wild Draw 4, Wild Normal, Red 6, Yellow Draw 2, Blue 1, Blue Reverse ;Wild Draw 4;Wild cards can be played on any colour
Red 1 ; Yellow 7, Wild Draw 4, Wild Normal, Red 6, Yellow Draw 2, Blue 1, Blue Reverse ;Wild Normal;Wild cards can be played on any colour
Red 1 ; Yellow 7, Wild Draw 4, Wild Normal, Red 6, Yellow Draw 2, Blue 1, Blue Reverse ;Red 6;it is the same color as the tabled card
Red 1 ; Yellow 7, Wild Draw 4, Wild Normal, Red 6, Yellow Draw 2, Blue 1, Blue Reverse ;Blue 1;it is the same type as the tabled card
Red Skip ; Yellow 2, Red 7, Blue 8, Green 7, Yellow 5, Wild Normal, Red Draw 2 ;Red 7;it is the same color as the tabled card
Red Skip ; Yellow 2, Red 7, Blue 8, Green 7, Yellow 5, Wild Normal, Red Draw 2 ;Wild Normal;Wild cards can be played on any colour
Red Skip ; Yellow 2, Red 7, Blue 8, Green 7, Yellow 5, Wild Normal, Red Draw 2 ;Red Draw 2;it is the same color as the tabled card
Red 8 ; Blue 0, Blue 0, Green 7, Wild Draw 4, Yellow 0, Wild Draw 4, Green 7 ;Wild Draw 4;Wild cards can be played on any colour
Red 8 ; Blue 0, Blue 0, Green 7, Wild Draw 4, Yellow 0, Wild Draw 4, Green 7 ;Wild Draw 4;Wild cards can be played on any colour
Red 7 ; Blue Skip, Blue 9, Blue 5, Yellow 5, Yellow Skip, Yellow 8, Yellow Draw 2 ;Pick up 1 card;If there are no allowed moves you must pick up
Blue 3 ; Wild Draw 4, Yellow Skip, Wild Normal, Yellow 3, Yellow 8, Green 2, Green 9 ;Wild Draw 4;Wild cards can be played on any colour
Blue 3 ; Wild Draw 4, Yellow Skip, Wild Normal, Yellow 3, Yellow 8, Green 2, Green 9 ;Wild Normal;Wild cards can be played on any colour
Blue 3 ; Wild Draw 4, Yellow Skip, Wild Normal, Yellow 3, Yellow 8, Green 2, Green 9 ;Yellow 3;it is the same type as the tabled card
Green Reverse ; Wild Normal, Red 4, Green 8, Red 5, Red Skip, Green 6, Blue 1 ;Wild Normal;Wild cards can be played on any colour
Green Reverse ; Wild Normal, Red 4, Green 8, Red 5, Red Skip, Green 6, Blue 1 ;Green 8;it is the same color as the tabled card
Green Reverse ; Wild Normal, Red 4, Green 8, Red 5, Red Skip, Green 6, Blue 1 ;Green 6;it is the same color as the tabled card
Blue 4 ; Blue 6, Yellow Skip, Blue 6, Red 1, Green Skip, Yellow 9, Green 3 ;Blue 6;it is the same color as the tabled card
Blue 4 ; Blue 6, Yellow Skip, Blue 6, Red 1, Green Skip, Yellow 9, Green 3 ;Blue 6;it is the same color as the tabled card
Red Draw 2 ; Red 4, Blue Skip, Green 1, Blue 5, Red 0, Yellow 5, Yellow 8 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Draw 4 ; Red 7, Blue 2, Red 8, Green 7, Green Draw 2, Red Draw 2, Yellow Reverse ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Yellow 7 ; Red 2, Blue Skip, Red 2, Yellow Reverse, Green 3, Red 1, Yellow 4 ;Yellow Reverse;it is the same color as the tabled card
Yellow 7 ; Red 2, Blue Skip, Red 2, Yellow Reverse, Green 3, Red 1, Yellow 4 ;Yellow 4;it is the same color as the tabled card
Red 1 ; Blue 7, Green 1, Green 1, Green Skip, Blue Reverse, Blue 1, Blue 3 ;Green 1;it is the same type as the tabled card
Red 1 ; Blue 7, Green 1, Green 1, Green Skip, Blue Reverse, Blue 1, Blue 3 ;Green 1;it is the same type as the tabled card
Red 1 ; Blue 7, Green 1, Green 1, Green Skip, Blue Reverse, Blue 1, Blue 3 ;Blue 1;it is the same type as the tabled card
Green Draw 2 ; Blue 8, Blue Skip, Wild Draw 4, Yellow Reverse, Wild Normal, Wild Draw 4, Red Skip ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 2 ; Yellow 2, Green 6, Green 5, Blue Reverse, Blue Skip, Red 9, Red Reverse ;Yellow 2;it is the same type as the tabled card
Blue 2 ; Yellow 2, Green 6, Green 5, Blue Reverse, Blue Skip, Red 9, Red Reverse ;Blue Reverse;it is the same color as the tabled card
Blue 2 ; Yellow 2, Green 6, Green 5, Blue Reverse, Blue Skip, Red 9, Red Reverse ;Blue Skip;it is the same color as the tabled card
Green 1 ; Red 2, Green Reverse, Blue 3, Green 2, Blue 9, Green 7, Yellow 3 ;Green Reverse;it is the same color as the tabled card
Green 1 ; Red 2, Green Reverse, Blue 3, Green 2, Blue 9, Green 7, Yellow 3 ;Green 2;it is the same color as the tabled card
Green 1 ; Red 2, Green Reverse, Blue 3, Green 2, Blue 9, Green 7, Yellow 3 ;Green 7;it is the same color as the tabled card
Green 2 ; Yellow 0, Yellow 6, Yellow 9, Yellow 5, Green Draw 2, Green 1, Yellow 3 ;Green Draw 2;it is the same color as the tabled card
Green 2 ; Yellow 0, Yellow 6, Yellow 9, Yellow 5, Green Draw 2, Green 1, Yellow 3 ;Green 1;it is the same color as the tabled card
Wild Draw 4 ; Blue 3, Red 2, Blue 2, Green 1, Red 7, Green 1, Wild Normal ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Blue Draw 2;it is the same color as the tabled card
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Blue 4;it is the same color as the tabled card
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Blue 4;it is the same color as the tabled card
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Blue 9;it is the same color as the tabled card
Blue 7 ; Wild Draw 4, Blue Draw 2, Red 3, Blue 4, Blue 4, Blue 9, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 2 ; Blue 9, Yellow Reverse, Red Draw 2, Green 7, Blue Draw 2, Red Reverse, Green 1 ;Yellow Reverse;it is the same color as the tabled card
Yellow 4 ; Blue 0, Red 9, Yellow 9, Blue 7, Blue 6, Red 7, Red 5 ;Yellow 9;it is the same color as the tabled card
Red 3 ; Blue Skip, Yellow 6, Wild Normal, Red 8, Yellow 8, Wild Draw 4, Blue 4 ;Wild Normal;Wild cards can be played on any colour
Red 3 ; Blue Skip, Yellow 6, Wild Normal, Red 8, Yellow 8, Wild Draw 4, Blue 4 ;Red 8;it is the same color as the tabled card
Red 3 ; Blue Skip, Yellow 6, Wild Normal, Red 8, Yellow 8, Wild Draw 4, Blue 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue Skip ; Green 2, Yellow 6, Blue 1, Wild Normal, Green 5, Blue 0, Green 3 ;Blue 1;it is the same color as the tabled card
Blue Skip ; Green 2, Yellow 6, Blue 1, Wild Normal, Green 5, Blue 0, Green 3 ;Wild Normal;Wild cards can be played on any colour
Blue Skip ; Green 2, Yellow 6, Blue 1, Wild Normal, Green 5, Blue 0, Green 3 ;Blue 0;it is the same color as the tabled card
Green 0 ; Green 5, Blue 7, Red 7, Blue 3, Blue 3, Blue Skip, Red 9 ;Green 5;it is the same color as the tabled card
Green Reverse ; Blue 4, Red 4, Red Skip, Green 2, Green 2, Yellow Draw 2, Red 5 ;Green 2;it is the same color as the tabled card
Green Reverse ; Blue 4, Red 4, Red Skip, Green 2, Green 2, Yellow Draw 2, Red 5 ;Green 2;it is the same color as the tabled card
Green 2 ; Blue 8, Yellow 2, Green 0, Green 6, Green 8, Green 3, Blue 8 ;Yellow 2;it is the same type as the tabled card
Green 2 ; Blue 8, Yellow 2, Green 0, Green 6, Green 8, Green 3, Blue 8 ;Green 0;it is the same color as the tabled card
Green 2 ; Blue 8, Yellow 2, Green 0, Green 6, Green 8, Green 3, Blue 8 ;Green 6;it is the same color as the tabled card
Green 2 ; Blue 8, Yellow 2, Green 0, Green 6, Green 8, Green 3, Blue 8 ;Green 8;it is the same color as the tabled card
Green 2 ; Blue 8, Yellow 2, Green 0, Green 6, Green 8, Green 3, Blue 8 ;Green 3;it is the same color as the tabled card
Blue 5 ; Green Skip, Green Skip, Blue 9, Wild Normal, Yellow Draw 2, Red Reverse, Green Skip ;Blue 9;it is the same color as the tabled card
Blue 5 ; Green Skip, Green Skip, Blue 9, Wild Normal, Yellow Draw 2, Red Reverse, Green Skip ;Wild Normal;Wild cards can be played on any colour
Green Reverse ; Green 3, Yellow 3, Wild Normal, Red Draw 2, Yellow Reverse, Red Skip, Green 5 ;Green 3;it is the same color as the tabled card
Green Reverse ; Green 3, Yellow 3, Wild Normal, Red Draw 2, Yellow Reverse, Red Skip, Green 5 ;Wild Normal;Wild cards can be played on any colour
Green Reverse ; Green 3, Yellow 3, Wild Normal, Red Draw 2, Yellow Reverse, Red Skip, Green 5 ;Yellow Reverse;it is the same type as the tabled card
Green Reverse ; Green 3, Yellow 3, Wild Normal, Red Draw 2, Yellow Reverse, Red Skip, Green 5 ;Green 5;it is the same color as the tabled card
Blue Reverse ; Yellow 5, Blue 6, Wild Normal, Blue Draw 2, Green 7, Yellow Reverse, Red 1 ;Blue 6;it is the same color as the tabled card
Blue Reverse ; Yellow 5, Blue 6, Wild Normal, Blue Draw 2, Green 7, Yellow Reverse, Red 1 ;Wild Normal;Wild cards can be played on any colour
Blue Reverse ; Yellow 5, Blue 6, Wild Normal, Blue Draw 2, Green 7, Yellow Reverse, Red 1 ;Blue Draw 2;it is the same color as the tabled card
Blue Reverse ; Yellow 5, Blue 6, Wild Normal, Blue Draw 2, Green 7, Yellow Reverse, Red 1 ;Yellow Reverse;it is the same type as the tabled card
Green 6 ; Blue 1, Yellow 2, Green 1, Blue 2, Green 8, Wild Normal, Red Skip ;Green 1;it is the same color as the tabled card
Green 6 ; Blue 1, Yellow 2, Green 1, Blue 2, Green 8, Wild Normal, Red Skip ;Green 8;it is the same color as the tabled card
Green 6 ; Blue 1, Yellow 2, Green 1, Blue 2, Green 8, Wild Normal, Red Skip ;Wild Normal;Wild cards can be played on any colour
Blue Skip ; Yellow Reverse, Green Reverse, Red Reverse, Red 2, Yellow 7, Blue Skip, Yellow 1 ;Blue Skip;it is the same color as the tabled card
Green Reverse ; Blue Skip, Yellow 2, Green Skip, Green 4, Blue Draw 2, Green 5, Yellow 7 ;Green Skip;it is the same color as the tabled card
Green Reverse ; Blue Skip, Yellow 2, Green Skip, Green 4, Blue Draw 2, Green 5, Yellow 7 ;Green 4;it is the same color as the tabled card
