Card on the Table:,Cards in Hand:,Possible Move:,Applicable rule:
Red Draw 2,"Blue 8, Green Skip, Yellow 8, Red Skip, Blue 8, Green 4, Green 9",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Blue 1,"Red 3, Green 9, Red 1, Yellow 3, Blue Draw 2, Wild Draw 4, Green Reverse",Red 1,Wild cards can be played on any colour
Blue 1,"Red 3, Green 9, Red 1, Yellow 3, Blue Draw 2, Wild Draw 4, Green Reverse",Blue Draw 2,it is the same color as the tabled card
Blue 1,"Red 3, Green 9, Red 1, Yellow 3, Blue Draw 2, Wild Draw 4, Green Reverse",Wild Draw 4,Wild cards can be played on any colour
Green Draw 2,"Blue 9, Green 6, Wild Draw 4, Blue 4, Red 1, Red 8, Yellow 0",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red 0,"Red Draw 2, Green Draw 2, Red 6, Blue 1, Red 9, Red 9, Blue 1",Red Draw 2,it is the same color as the tabled card
Red 0,"Red Draw 2, Green Draw 2, Red 6, Blue 1, Red 9, Red 9, Blue 1",Red 6,it is the same color as the tabled card
Red 0,"Red Draw 2, Green Draw 2, Red 6, Blue 1, Red 9, Red 9, Blue 1",Red 9,it is the same color as the tabled card
Red 0,"Red Draw 2, Green Draw 2, Red 6, Blue 1, Red 9, Red 9, Blue 1",Red 9,it is the same color as the tabled card
Blue 9,"Red 2, Green 6, Green 7, Yellow 8, Green Skip, Green 5, Yellow Skip",Pick up 1 card,If there are no allowed moves you must pick up
Red 3,"Yellow Skip, Green 1, Red Skip, Wild Draw 4, Green 0, Green 7, Blue 7",Red Skip,it is the same color as the tabled card
Red 3,"Yellow Skip, Green 1, Red Skip, Wild Draw 4, Green 0, Green 7, Blue 7",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Green 2, Green 4, Green 3, Blue 3, Green Reverse, Blue Skip, Green 3",Green 2,Wild cards can be played on any colour
Green 8,"Red 9, Red 3, Blue Draw 2, Green 2, Yellow 3, Blue 0, Red 9",Green 2,it is the same color as the tabled card
Green 8,"Yellow 5, Red Skip, Blue 4, Green 4, Yellow Draw 2, Red Skip, Red 7",Green 4,it is the same color as the tabled card
Yellow 5,"Blue 2, Yellow 6, Green Draw 2, Red 0, Yellow 2, Red 1, Green 5",Yellow 6,it is the same color as the tabled card
Yellow 5,"Blue 2, Yellow 6, Green Draw 2, Red 0, Yellow 2, Red 1, Green 5",Yellow 2,it is the same color as the tabled card
Yellow 5,"Blue 2, Yellow 6, Green Draw 2, Red 0, Yellow 2, Red 1, Green 5",Green 5,Wild cards can be played on any colour
Red 1,"Yellow 4, Red Reverse, Green 2, Blue Skip, Wild Normal, Wild Draw 4, Green 4",Red Reverse,it is the same color as the tabled card
Red 1,"Yellow 4, Red Reverse, Green 2, Blue Skip, Wild Normal, Wild Draw 4, Green 4",Wild Normal,Wild cards can be played on any colour
Red 1,"Yellow 4, Red Reverse, Green 2, Blue Skip, Wild Normal, Wild Draw 4, Green 4",Wild Draw 4,Wild cards can be played on any colour
Red 1,"Green 6, Green 9, Yellow 7, Blue Draw 2, Blue Reverse, Blue Skip, Green 3",Pick up 1 card,If there are no allowed moves you must pick up
Red 8,"Green 6, Red 8, Red 3, Yellow 4, Blue Reverse, Wild Draw 4, Red Draw 2",Red 8,it is the same color as the tabled card
Red 8,"Green 6, Red 8, Red 3, Yellow 4, Blue Reverse, Wild Draw 4, Red Draw 2",Red 3,it is the same color as the tabled card
Red 8,"Green 6, Red 8, Red 3, Yellow 4, Blue Reverse, Wild Draw 4, Red Draw 2",Wild Draw 4,Wild cards can be played on any colour
Red 8,"Green 6, Red 8, Red 3, Yellow 4, Blue Reverse, Wild Draw 4, Red Draw 2",Red Draw 2,it is the same color as the tabled card
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Blue 3,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Red 5,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Red 6,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Yellow 5,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Blue 1,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Yellow Reverse,Any card can be played on a Wild Normal
Wild Normal,"Blue 3, Red 5, Red 6, Yellow 5, Blue 1, Yellow Reverse, Red 4",Red 4,Any card can be played on a Wild Normal
Green 1,"Green 9, Red Draw 2, Yellow 5, Blue 1, Red 8, Blue Draw 2, Yellow 7",Green 9,it is the same color as the tabled card
Green 1,"Green 9, Red Draw 2, Yellow 5, Blue 1, Red 8, Blue Draw 2, Yellow 7",Blue 1,Wild cards can be played on any colour
Blue Reverse,"Blue Draw 2, Red Reverse, Green 6, Green Skip, Wild Draw 4, Green Reverse, Yellow 0",Blue Draw 2,it is the same color as the tabled card
Blue Reverse,"Blue Draw 2, Red Reverse, Green 6, Green Skip, Wild Draw 4, Green Reverse, Yellow 0",Red Reverse,Wild cards can be played on any colour
Blue Reverse,"Blue Draw 2, Red Reverse, Green 6, Green Skip, Wild Draw 4, Green Reverse, Yellow 0",Wild Draw 4,Wild cards can be played on any colour
Blue Reverse,"Blue Draw 2, Red Reverse, Green 6, Green Skip, Wild Draw 4, Green Reverse, Yellow 0",Green Reverse,Wild cards can be played on any colour
Yellow 8,"Blue 5, Yellow 3, Green 5, Blue Draw 2, Yellow Reverse, Yellow 7, Yellow 1",Yellow 3,it is the same color as the tabled card
Yellow 8,"Blue 5, Yellow 3, Green 5, Blue Draw 2, Yellow Reverse, Yellow 7, Yellow 1",Yellow Reverse,it is the same color as the tabled card
Yellow 8,"Blue 5, Yellow 3, Green 5, Blue Draw 2, Yellow Reverse, Yellow 7, Yellow 1",Yellow 7,it is the same color as the tabled card
Yellow 8,"Blue 5, Yellow 3, Green 5, Blue Draw 2, Yellow Reverse, Yellow 7, Yellow 1",Yellow 1,it is the same color as the tabled card
Yellow 7,"Wild Draw 4, Blue 8, Red 2, Yellow 9, Blue Skip, Blue 6, Green 8",Wild Draw 4,Wild cards can be played on any colour
Yellow 7,"Wild Draw 4, Blue 8, Red 2, Yellow 9, Blue Skip, Blue 6, Green 8",Yellow 9,it is the same color as the tabled card
Red 8,"Green 0, Red 0, Green 9, Blue 4, Yellow 8, Red 5, Yellow Draw 2",Red 0,it is the same color as the tabled card
Red 8,"Green 0, Red 0, Green 9, Blue 4, Yellow 8, Red 5, Yellow Draw 2",Yellow 8,Wild cards can be played on any colour
Red 8,"Green 0, Red 0, Green 9, Blue 4, Yellow 8, Red 5, Yellow Draw 2",Red 5,it is the same color as the tabled card
Blue Skip,"Green 2, Blue 6, Yellow 0, Red 4, Red 0, Green 8, Wild Normal",Blue 6,it is the same color as the tabled card
Blue Skip,"Green 2, Blue 6, Yellow 0, Red 4, Red 0, Green 8, Wild Normal",Wild Normal,Wild cards can be played on any colour
Green 7,"Yellow 3, Green Reverse, Blue 3, Blue Draw 2, Green 2, Red Draw 2, Blue Skip",Green Reverse,it is the same color as the tabled card
Green 7,"Yellow 3, Green Reverse, Blue 3, Blue Draw 2, Green 2, Red Draw 2, Blue Skip",Green 2,it is the same color as the tabled card
Yellow 1,"Yellow Skip, Red Draw 2, Red Draw 2, Green 7, Yellow 8, Red 2, Green 1",Yellow Skip,it is the same color as the tabled card
Yellow 1,"Yellow Skip, Red Draw 2, Red Draw 2, Green 7, Yellow 8, Red 2, Green 1",Yellow 8,it is the same color as the tabled card
Yellow 1,"Yellow Skip, Red Draw 2, Red Draw 2, Green 7, Yellow 8, Red 2, Green 1",Green 1,Wild cards can be played on any colour
Blue 2,"Red 7, Green Reverse, Yellow 4, Red 1, Red 3, Red 3, Wild Normal",Wild Normal,Wild cards can be played on any colour
Blue 2,"Yellow 6, Red 9, Green Skip, Yellow 3, Yellow 2, Blue 0, Yellow 3",Yellow 2,Wild cards can be played on any colour
Blue 2,"Yellow 6, Red 9, Green Skip, Yellow 3, Yellow 2, Blue 0, Yellow 3",Blue 0,it is the same color as the tabled card
Blue Reverse,"Green Reverse, Wild Draw 4, Yellow Draw 2, Red 4, Red Reverse, Red 6, Green Skip",Green Reverse,Wild cards can be played on any colour
Blue Reverse,"Green Reverse, Wild Draw 4, Yellow Draw 2, Red 4, Red Reverse, Red 6, Green Skip",Wild Draw 4,Wild cards can be played on any colour
Blue Reverse,"Green Reverse, Wild Draw 4, Yellow Draw 2, Red 4, Red Reverse, Red 6, Green Skip",Red Reverse,Wild cards can be played on any colour
Wild Draw 4,"Red Draw 2, Yellow 7, Wild Draw 4, Blue 7, Green 3, Yellow 7, Red 4",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Wild Draw 4,"Yellow 9, Wild Draw 4, Green 4, Blue 1, Yellow 2, Red Reverse, Yellow 7",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Yellow 3,"Green 3, Blue Draw 2, Yellow 0, Red Skip, Wild Normal, Green 9, Wild Normal",Green 3,Wild cards can be played on any colour
Yellow 3,"Green 3, Blue Draw 2, Yellow 0, Red Skip, Wild Normal, Green 9, Wild Normal",Yellow 0,it is the same color as the tabled card
Yellow 3,"Green 3, Blue Draw 2, Yellow 0, Red Skip, Wild Normal, Green 9, Wild Normal",Wild Normal,Wild cards can be played on any colour
Yellow 3,"Green 3, Blue Draw 2, Yellow 0, Red Skip, Wild Normal, Green 9, Wild Normal",Wild Normal,Wild cards can be played on any colour
Blue 7,"Blue Draw 2, Wild Normal, Wild Normal, Red 9, Blue Reverse, Blue Draw 2, Yellow Draw 2",Blue Draw 2,it is the same color as the tabled card
Blue 7,"Blue Draw 2, Wild Normal, Wild Normal, Red 9, Blue Reverse, Blue Draw 2, Yellow Draw 2",Wild Normal,Wild cards can be played on any colour
Blue 7,"Blue Draw 2, Wild Normal, Wild Normal, Red 9, Blue Reverse, Blue Draw 2, Yellow Draw 2",Wild Normal,Wild cards can be played on any colour
Blue 7,"Blue Draw 2, Wild Normal, Wild Normal, Red 9, Blue Reverse, Blue Draw 2, Yellow Draw 2",Blue Reverse,it is the same color as the tabled card
Blue 7,"Blue Draw 2, Wild Normal, Wild Normal, Red 9, Blue Reverse, Blue Draw 2, Yellow Draw 2",Blue Draw 2,it is the same color as the tabled card
Green 4,"Yellow Reverse, Yellow 4, Red 5, Red Draw 2, Yellow 9, Blue 8, Blue Skip",Yellow 4,Wild cards can be played on any colour
Green 1,"Green Reverse, Red 4, Blue Reverse, Green 5, Red Skip, Red Skip, Green 8",Green Reverse,it is the same color as the tabled card
Green 1,"Green Reverse, Red 4, Blue Reverse, Green 5, Red Skip, Red Skip, Green 8",Green 5,it is the same color as the tabled card
Green 1,"Green Reverse, Red 4, Blue Reverse, Green 5, Red Skip, Red Skip, Green 8",Green 8,it is the same color as the tabled card
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Yellow 7,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Green 5,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Yellow Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Red 9,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Green 9,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Red 8,Any card can be played on a Wild Normal
Wild Normal,"Yellow 7, Green 5, Yellow Draw 2, Red 9, Green 9, Red 8, Red 7",Red 7,Any card can be played on a Wild Normal
Red 0,"Blue 0, Yellow 0, Yellow 5, Red 6, Yellow 2, Yellow 1, Blue 4",Blue 0,Wild cards can be played on any colour
Red 0,"Blue 0, Yellow 0, Yellow 5, Red 6, Yellow 2, Yellow 1, Blue 4",Yellow 0,Wild cards can be played on any colour
Red 0,"Blue 0, Yellow 0, Yellow 5, Red 6, Yellow 2, Yellow 1, Blue 4",Red 6,it is the same color as the tabled card
Green 7,"Wild Normal, Yellow 1, Yellow 6, Blue 1, Green 4, Green 9, Green 8",Wild Normal,Wild cards can be played on any colour
Green 7,"Wild Normal, Yellow 1, Yellow 6, Blue 1, Green 4, Green 9, Green 8",Green 4,it is the same color as the tabled card
Green 7,"Wild Normal, Yellow 1, Yellow 6, Blue 1, Green 4, Green 9, Green 8",Green 9,it is the same color as the tabled card
Green 7,"Wild Normal, Yellow 1, Yellow 6, Blue 1, Green 4, Green 9, Green 8",Green 8,it is the same color as the tabled card
Red 5,"Red 7, Green 5, Blue 1, Red Skip, Green 4, Wild Normal, Yellow 1",Red 7,it is the same color as the tabled card
Red 5,"Red 7, Green 5, Blue 1, Red Skip, Green 4, Wild Normal, Yellow 1",Green 5,Wild cards can be played on any colour
Red 5,"Red 7, Green 5, Blue 1, Red Skip, Green 4, Wild Normal, Yellow 1",Red Skip,it is the same color as the tabled card
Red 5,"Red 7, Green 5, Blue 1, Red Skip, Green 4, Wild Normal, Yellow 1",Wild Normal,Wild cards can be played on any colour
