Card on the Table: , Cards in Hand: , Possible Move: , Applicable rule: 
Green 5," Red 4, Red 9, Blue 2, Blue 5, Wild Draw 4, Blue 3, Blue Reverse ",Blue 2,this is an illegal move
Yellow 6," Red 8, Red 1, Blue 3, Wild Draw 4, Yellow 9, Red 9, Green 7 ",Green 7,this is an illegal move
Red 8," Blue 2, Blue 8, Red 7, Yellow 4, Blue 3, Yellow 7, Green 5 ",Yellow 7,this is an illegal move
Green 2," Green Skip, Green Draw 2, Green 3, Red 6, Green 1, Red Reverse, Blue 8 ",Blue 8,this is an illegal move
Green 8," Yellow 9, Blue 3, Red Skip, Red 4, Blue 1, Green 3, Wild Normal ",Blue 1,this is an illegal move
Blue Draw 2," Red 2, Yellow 4, Blue 0, Green 7, Blue 9, Green Skip, Yellow 4 ",Yellow 4,this is an illegal move
Green 5," Red 9, Blue 1, Green 4, Wild Draw 4, Yellow 4, Red 3, Blue 4 ",Blue 1,this is an illegal move
Yellow 8," Green Skip, Green Draw 2, Green 6, Yellow 1, Green 3, Wild Draw 4, Green 6 ",Green 6,this is an illegal move
Green 3," Yellow 0, Yellow 2, Red 7, Green 7, Yellow 9, Wild Normal, Yellow 2 ",Yellow 2,this is an illegal move
Yellow 8," Red 2, Wild Normal, Blue 6, Green Skip, Green 3, Green 2, Red Reverse ",Green Skip,this is an illegal move
Green 8," Green 3, Blue Reverse, Blue 1, Red 3, Yellow 7, Yellow 3, Green 3 ",Blue Reverse,this is an illegal move
Red Draw 2," Wild Normal, Yellow 0, Red Reverse, Wild Draw 4, Blue 0, Green 0, Yellow 4 ",Yellow 0,this is an illegal move
Yellow 2," Green Reverse, Green 2, Red 6, Red 8, Blue Reverse, Red 8, Green 2 ",Red 6,this is an illegal move
Green Skip," Yellow 8, Yellow 1, Red 6, Green 2, Blue 8, Red 3, Green 3 ",Red 6,this is an illegal move
Blue 2," Yellow 3, Wild Normal, Red Draw 2, Red 8, Green 9, Yellow Skip, Yellow Draw 2 ",Green 9,this is an illegal move
Blue Draw 2," Green 3, Red 2, Red 9, Blue 1, Yellow Skip, Yellow 5, Blue 8 ",Green 3,this is an illegal move
Green 9," Yellow Draw 2, Green 4, Red 9, Red 3, Yellow 5, Blue Draw 2, Yellow Reverse ",Yellow Reverse,this is an illegal move
Green 5," Red 3, Green Reverse, Blue 2, Yellow Draw 2, Yellow 9, Yellow Skip, Green 4 ",Yellow Skip,this is an illegal move
Yellow Draw 2," Wild Normal, Yellow 3, Green 1, Blue 5, Red Skip, Red 2, Yellow 9 ",Red Skip,this is an illegal move
Green 4," Blue 3, Blue Draw 2, Red 2, Yellow Skip, Red 4, Wild Normal, Yellow 5 ",Red 2,this is an illegal move
Green 9," Yellow 8, Blue 7, Yellow 1, Wild Normal, Wild Normal, Blue 5, Red 6 ",Blue 5,this is an illegal move
Green 7," Green Skip, Wild Normal, Blue 4, Red 4, Yellow Draw 2, Red 9, Red 1 ",Red 1,this is an illegal move
Red Skip," Red Draw 2, Red Skip, Yellow 9, Yellow 1, Blue 3, Green Skip, Green Draw 2 ",Blue 3,this is an illegal move
Blue 6," Yellow 9, Yellow 2, Wild Normal, Yellow 1, Red Reverse, Red 6, Yellow Reverse ",Red Reverse,this is an illegal move
Blue 2," Yellow Reverse, Blue 7, Yellow 9, Green 8, Red Skip, Red 1, Red 5 ",Yellow 9,this is an illegal move
Blue 5," Red 6, Green 9, Wild Normal, Yellow 4, Green 4, Green 4, Red 2 ",Red 6,this is an illegal move
Green Reverse," Yellow 2, Yellow 7, Blue Skip, Red 7, Yellow 8, Red 3, Wild Draw 4 ",Yellow 7,this is an illegal move
Yellow Draw 2," Yellow 6, Blue Draw 2, Green 3, Green 9, Yellow 2, Blue 2, Red 5 ",Blue 2,this is an illegal move
Yellow Skip," Red 6, Green Draw 2, Green 9, Red 1, Yellow 8, Green 3, Yellow Skip ",Green 9,this is an illegal move
Green 2," Green 3, Yellow 9, Yellow 8, Green Draw 2, Red 6, Red 5, Yellow Reverse ",Red 5,this is an illegal move
Red Reverse," Yellow 8, Red 2, Green 4, Yellow 9, Red 0, Green 1, Wild Normal ",Green 1,this is an illegal move
Yellow 4," Green 5, Green 5, Blue 9, Yellow Draw 2, Green 6, Blue 7, Blue 8 ",Green 5,this is an illegal move
Green 5," Yellow 2, Wild Draw 4, Wild Normal, Blue Draw 2, Blue Reverse, Yellow 9, Yellow 1 ",Yellow 1,this is an illegal move
Red 5," Red 5, Red 7, Yellow 7, Yellow Skip, Red 4, Green 1, Green Reverse ",Yellow 7,this is an illegal move
Yellow 5," Green 2, Red Draw 2, Yellow 3, Yellow 4, Yellow 1, Red 9, Yellow Reverse ",Red 9,this is an illegal move
Green 0," Red Reverse, Green 6, Red 6, Yellow 4, Red Skip, Red 8, Green 5 ",Red 8,this is an illegal move
Blue 0," Red 3, Blue 1, Green 1, Green 6, Yellow 2, Blue Skip, Yellow 7 ",Green 1,this is an illegal move
Blue 8," Green 7, Red 2, Yellow 7, Green 1, Wild Normal, Blue 1, Red 9 ",Red 9,this is an illegal move
Blue 3," Red 5, Green 1, Red Skip, Green 8, Blue Reverse, Wild Normal, Blue Draw 2 ",Red 5,this is an illegal move
Yellow 8," Blue 1, Blue 5, Green 5, Blue Reverse, Blue 6, Blue 7, Blue 3 ",Blue Reverse,this is an illegal move
Yellow Reverse," Yellow 7, Blue 6, Green 3, Yellow Draw 2, Red 6, Red 2, Blue 4 ",Green 3,this is an illegal move
Yellow 2," Red Reverse, Yellow 7, Wild Draw 4, Red 5, Blue Reverse, Blue 7, Yellow 1 ",Red Reverse,this is an illegal move
Blue Draw 2," Green 5, Green 9, Red 3, Wild Draw 4, Wild Draw 4, Blue 1, Red 1 ",Green 5,this is an illegal move
Blue 1," Wild Normal, Blue Draw 2, Blue 6, Red 4, Wild Normal, Red 1, Yellow 3 ",Red 4,this is an illegal move
Yellow Skip," Red 8, Green 5, Blue 4, Blue Skip, Blue 7, Red 9, Blue Skip ",Red 8,this is an illegal move
Blue Reverse," Yellow 5, Red 2, Yellow Draw 2, Green 4, Green 3, Yellow Reverse, Yellow Skip ",Green 4,this is an illegal move
Yellow 9," Wild Normal, Yellow Skip, Blue 7, Green 0, Yellow Reverse, Yellow Draw 2, Blue 5 ",Blue 7,this is an illegal move
Red Skip," Yellow 1, Blue 2, Yellow 7, Yellow 1, Green Reverse, Red Reverse, Red 3 ",Blue 2,this is an illegal move
Blue 5," Red 5, Blue 6, Blue Reverse, Wild Draw 4, Red Draw 2, Wild Normal, Green Reverse ",Red Draw 2,this is an illegal move
Green 1," Blue 9, Green Reverse, Blue 1, Blue 0, Green 3, Yellow Draw 2, Green 7 ",Yellow Draw 2,this is an illegal move
Yellow 7," Blue 7, Blue 7, Blue 2, Yellow 7, Green 3, Green 4, Yellow 2 ",Green 4,this is an illegal move
Yellow 7," Green Draw 2, Red Skip, Green 5, Red 6, Blue 8, Yellow 3, Green 8 ",Green Draw 2,this is an illegal move
Red 1," Yellow 1, Blue Reverse, Green Draw 2, Blue 2, Blue Draw 2, Yellow 7, Wild Draw 4 ",Green Draw 2,this is an illegal move
Blue 6," Wild Normal, Yellow 6, Green 7, Green 4, Red 5, Red 5, Yellow 5 ",Red 5,this is an illegal move
Blue 2," Green Draw 2, Blue 2, Red 4, Green 1, Red 5, Red 1, Wild Draw 4 ",Green Draw 2,this is an illegal move
Blue Skip," Yellow 0, Red 2, Green 8, Green 7, Blue 3, Green Skip, Green 5 ",Green 5,this is an illegal move
Red 4," Blue 8, Blue Skip, Red 9, Yellow 0, Yellow 1, Yellow 9, Blue Draw 2 ",Yellow 0,this is an illegal move
Red Draw 2," Green 1, Blue 3, Yellow 2, Blue 0, Blue 2, Yellow Skip, Blue 3 ",Yellow 2,this is an illegal move
Red 3," Red 8, Yellow Skip, Blue 4, Red Skip, Green 2, Blue 3, Blue 3 ",Blue 4,this is an illegal move
Green 4," Yellow 2, Yellow 8, Blue 4, Yellow Reverse, Blue Reverse, Green 5, Blue 6 ",Yellow 2,this is an illegal move
Blue 5," Yellow 4, Wild Draw 4, Red Reverse, Red 2, Blue 0, Blue 5, Green 6 ",Red 2,this is an illegal move
Blue Reverse," Blue 8, Yellow 5, Green Skip, Red 2, Wild Draw 4, Wild Normal, Green 0 ",Green 0,this is an illegal move
Red Skip," Yellow Reverse, Blue Skip, Blue 9, Yellow 6, Blue 1, Yellow 5, Green 7 ",Yellow 6,this is an illegal move
Yellow 4," Green 1, Blue Reverse, Red 5, Green Draw 2, Yellow Reverse, Red Reverse, Yellow 7 ",Green Draw 2,this is an illegal move
Blue 6," Red 6, Red 8, Blue 2, Yellow Draw 2, Blue 2, Red 3, Blue 4 ",Red 3,this is an illegal move
Yellow 1," Green 4, Blue 5, Yellow 7, Red 7, Green 3, Wild Draw 4, Yellow 4 ",Green 4,this is an illegal move
Yellow 5," Red 8, Green Draw 2, Green 0, Yellow Draw 2, Yellow 8, Red 0, Red Draw 2 ",Green 0,this is an illegal move
Red 9," Blue 1, Green 1, Green Draw 2, Green Skip, Yellow 4, Blue 9, Green 4 ",Yellow 4,this is an illegal move
Red 5," Yellow 8, Green 9, Green 3, Green Reverse, Yellow 3, Red 4, Yellow 2 ",Green 9,this is an illegal move
Green 2," Green 5, Red 6, Green 7, Yellow 1, Blue 8, Red 4, Green 5 ",Blue 8,this is an illegal move
Red Reverse," Green 6, Green 2, Blue 5, Yellow 7, Green 9, Red 3, Yellow 3 ",Green 6,this is an illegal move
Green 9," Red Draw 2, Green 1, Blue 8, Blue 7, Red 1, Green 4, Blue 8 ",Blue 8,this is an illegal move
Green 0," Yellow 4, Green 1, Yellow Reverse, Green 3, Red Skip, Blue 1, Yellow 4 ",Yellow Reverse,this is an illegal move
Red 0," Green 9, Green Skip, Blue 2, Yellow Reverse, Yellow 4, Red 9, Green 6 ",Green 6,this is an illegal move
Blue 9," Yellow 7, Green 3, Blue Skip, Red Reverse, Red 8, Yellow 5, Green 9 ",Yellow 7,this is an illegal move
Blue 3," Wild Normal, Green 9, Green Reverse, Blue 2, Wild Draw 4, Blue 9, Red 9 ",Green Reverse,this is an illegal move
Red 4," Yellow 5, Wild Normal, Yellow 7, Blue 3, Wild Draw 4, Yellow 5, Red 6 ",Yellow 5,this is an illegal move
Green 9," Yellow Skip, Wild Draw 4, Blue Skip, Red Skip, Red Skip, Wild Draw 4, Blue 1 ",Yellow Skip,this is an illegal move
Blue 3," Yellow Draw 2, Red 7, Blue 2, Red Reverse, Yellow Draw 2, Green 0, Yellow 1 ",Yellow Draw 2,this is an illegal move
Green 9," Yellow Skip, Red 0, Green 5, Wild Normal, Green 2, Yellow 1, Wild Normal ",Yellow Skip,this is an illegal move
Blue 5," Green 7, Blue 7, Green 1, Red 5, Yellow 6, Red 1, Green Reverse ",Yellow 6,this is an illegal move
Green 1," Yellow 4, Red 5, Red 5, Blue 1, Blue 1, Wild Draw 4, Yellow 7 ",Red 5,this is an illegal move
Green 8," Blue 4, Yellow 8, Red Draw 2, Green 5, Green Skip, Yellow 1, Red Reverse ",Red Draw 2,this is an illegal move
Blue 9," Red 6, Red Skip, Blue Reverse, Green Skip, Wild Draw 4, Blue 6, Blue 8 ",Green Skip,this is an illegal move
Green 7," Green 1, Blue 7, Blue 9, Red 5, Yellow Reverse, Yellow 2, Yellow Draw 2 ",Blue 9,this is an illegal move
Yellow 1," Green 3, Wild Draw 4, Red Draw 2, Green 3, Blue 9, Wild Normal, Blue 1 ",Blue 9,this is an illegal move
Yellow 6," Yellow 7, Yellow 6, Red 5, Green 3, Blue 1, Blue 7, Wild Normal ",Blue 1,this is an illegal move
Green 1," Red 8, Yellow 8, Blue Draw 2, Red 5, Red 7, Blue 8, Blue 5 ",Red 5,this is an illegal move
Red 5," Green Draw 2, Blue 2, Green 6, Green 4, Blue 6, Blue 5, Green Skip ",Green Skip,this is an illegal move
Red 8," Green Reverse, Red Draw 2, Blue 9, Green 7, Red 4, Yellow 1, Red 0 ",Yellow 1,this is an illegal move
Blue 8," Yellow 1, Green Reverse, Blue 2, Yellow 5, Yellow Reverse, Wild Normal, Blue 3 ",Green Reverse,this is an illegal move
Blue 7," Blue Draw 2, Green 5, Red 3, Green 2, Red 4, Yellow 8, Red 9 ",Yellow 8,this is an illegal move
Green 9," Blue 7, Green 4, Yellow Skip, Yellow 1, Red 0, Yellow Draw 2, Yellow 5 ",Yellow Draw 2,this is an illegal move
Yellow 8," Blue Skip, Yellow Skip, Green 5, Green 1, Red 7, Red 8, Yellow 4 ",Blue Skip,this is an illegal move
Green Skip," Green 2, Blue 2, Red 4, Yellow Draw 2, Green Reverse, Yellow 9, Red 1 ",Red 4,this is an illegal move
Red 5," Blue Skip, Red 2, Yellow 2, Red 8, Green Draw 2, Green 8, Green 8 ",Green Draw 2,this is an illegal move
Yellow 8," Yellow 8, Red 0, Red 1, Blue 2, Red 2, Red 6, Green Skip ",Green Skip,this is an illegal move
Red Reverse," Green 6, Green Skip, Blue Draw 2, Yellow 5, Green 6, Yellow Reverse, Green 2 ",Blue Draw 2,this is an illegal move
Red 8," Green 6, Green 8, Green 1, Red 4, Red 0, Yellow Draw 2, Blue 2 ",Green 1,this is an illegal move
Red Reverse," Green 8, Red Skip, Yellow Reverse, Red 6, Blue 4, Blue Reverse, Green 1 ",Green 1,this is an illegal move
Blue 9," Green Draw 2, Red Reverse, Green 6, Red 4, Green Draw 2, Wild Normal, Red 9 ",Red Reverse,this is an illegal move
Red 2," Wild Normal, Yellow 2, Yellow 0, Yellow 9, Yellow 0, Green 6, Blue 4 ",Yellow 0,this is an illegal move
Yellow 5," Yellow 5, Wild Draw 4, Blue Draw 2, Red 6, Blue 3, Red 8, Green 1 ",Blue Draw 2,this is an illegal move
Blue 1," Blue Skip, Yellow 4, Green 6, Red Reverse, Yellow 2, Yellow 7, Yellow Draw 2 ",Yellow 7,this is an illegal move
Red 6," Yellow 7, Blue 1, Red Skip, Yellow 6, Green Reverse, Yellow 4, Blue 7 ",Blue 7,this is an illegal move
Blue Draw 2," Blue 1, Green 2, Red 1, Yellow 6, Red Reverse, Red 4, Yellow 8 ",Yellow 6,this is an illegal move
Blue 8," Blue 4, Yellow Skip, Green 2, Red 5, Yellow 9, Green 9, Red 3 ",Yellow 9,this is an illegal move
Yellow 9," Red 3, Red 6, Blue 7, Yellow 1, Red 1, Red 9, Wild Normal ",Blue 7,this is an illegal move
Blue 7," Red Reverse, Yellow 9, Yellow 4, Yellow 4, Red 9, Blue 4, Green 5 ",Yellow 9,this is an illegal move
Red Reverse," Red 3, Red 7, Yellow Skip, Yellow 7, Yellow 1, Blue 6, Blue 6 ",Blue 6,this is an illegal move
Green 9," Green 7, Green 9, Blue 5, Red Skip, Yellow 5, Green 9, Blue 2 ",Red Skip,this is an illegal move
Green 1," Green 5, Yellow Reverse, Green 1, Green 8, Red Skip, Yellow 5, Yellow 5 ",Red Skip,this is an illegal move
Red 9," Green 6, Yellow 4, Wild Draw 4, Red 5, Blue Draw 2, Green Draw 2, Green 4 ",Blue Draw 2,this is an illegal move
Yellow 1," Red Skip, Red Skip, Green Skip, Blue Draw 2, Blue 9, Wild Normal, Red Reverse ",Green Skip,this is an illegal move
Yellow Reverse," Red 0, Blue 8, Yellow 1, Blue 6, Green 2, Yellow 5, Green Skip ",Blue 6,this is an illegal move
Green 9," Green 1, Yellow Reverse, Green 1, Green 8, Blue 9, Yellow 2, Blue 5 ",Yellow Reverse,this is an illegal move
Blue 1," Blue 4, Red 8, Green Draw 2, Yellow Reverse, Green Skip, Yellow 4, Green 7 ",Yellow Reverse,this is an illegal move
Green 8," Green 6, Yellow 7, Yellow 5, Red 9, Green 3, Wild Normal, Red 4 ",Yellow 7,this is an illegal move
Red 8," Blue 9, Red 5, Green 9, Wild Draw 4, Blue 6, Blue 7, Yellow 4 ",Yellow 4,this is an illegal move
Blue 0," Green 7, Yellow 8, Wild Draw 4, Wild Normal, Red 8, Blue Draw 2, Yellow 7 ",Red 8,this is an illegal move
Red 3," Wild Normal, Yellow 2, Red Draw 2, Red 0, Yellow Reverse, Red 9, Yellow 6 ",Yellow 6,this is an illegal move
Red 9," Red 5, Blue 4, Green 5, Blue 1, Yellow 5, Yellow Skip, Blue 7 ",Yellow 5,this is an illegal move
Red Draw 2," Red 5, Red Reverse, Blue 1, Red 9, Blue 3, Yellow 2, Yellow 7 ",Blue 1,this is an illegal move
Green 4," Wild Draw 4, Green 5, Green 9, Red 6, Red 8, Blue Skip, Blue 1 ",Red 6,this is an illegal move
Yellow 8," Red 5, Red 5, Blue 2, Blue 3, Yellow 9, Red 1, Green 4 ",Blue 3,this is an illegal move
Green 8," Yellow 0, Green Skip, Green 7, Green 5, Yellow 1, Green 4, Red 2 ",Yellow 0,this is an illegal move
Green Reverse," Red 9, Green 8, Yellow 9, Green 1, Blue 3, Yellow Draw 2, Yellow 6 ",Blue 3,this is an illegal move
Blue 0," Blue 1, Green 5, Red 7, Red 5, Blue Draw 2, Yellow Reverse, Red 1 ",Yellow Reverse,this is an illegal move
Red Draw 2," Green 8, Green 5, Green 1, Green Draw 2, Green 4, Yellow 3, Yellow 9 ",Green 5,this is an illegal move
Red 5," Yellow 3, Blue 4, Blue Draw 2, Red 6, Yellow 9, Red 1, Blue 3 ",Blue 3,this is an illegal move
Blue 3," Red 9, Green 7, Blue 8, Red 3, Green 0, Red 8, Green 4 ",Red 9,this is an illegal move
Blue Draw 2," Blue 3, Wild Normal, Blue 7, Yellow 6, Red 2, Green 2, Yellow Reverse ",Green 2,this is an illegal move
Blue Reverse," Wild Normal, Red 2, Yellow Draw 2, Green 2, Red Skip, Wild Normal, Yellow 2 ",Green 2,this is an illegal move
Blue 3," Red 1, Blue Skip, Yellow Skip, Red 3, Blue Reverse, Blue 0, Yellow 7 ",Yellow Skip,this is an illegal move
Blue 8," Blue 3, Green 6, Green 6, Blue 1, Blue 8, Yellow Skip, Yellow Draw 2 ",Green 6,this is an illegal move
Yellow 3," Blue 1, Red Reverse, Blue 8, Red Skip, Yellow 6, Yellow 9, Green 5 ",Blue 8,this is an illegal move
Green 3," Blue 8, Red 9, Green 1, Red 5, Blue 0, Red 5, Blue Draw 2 ",Blue 0,this is an illegal move
Red 2," Blue 6, Green 8, Yellow 5, Yellow 7, Green Skip, Blue 1, Blue 2 ",Green 8,this is an illegal move
Red Skip," Yellow 7, Green 6, Green 3, Yellow 4, Blue 3, Yellow 3, Red Reverse ",Yellow 3,this is an illegal move
Green Skip," Wild Draw 4, Red 1, Yellow 2, Red 9, Yellow 3, Yellow 1, Yellow 2 ",Yellow 3,this is an illegal move
Green 8," Blue 8, Blue Skip, Green Skip, Yellow 4, Red 6, Red 2, Blue 1 ",Blue 1,this is an illegal move
Blue Reverse," Red 1, Green 4, Green Reverse, Yellow 2, Red 6, Red 8, Red 2 ",Red 8,this is an illegal move
Green 2," Green 1, Blue 0, Red 9, Red 6, Green 8, Yellow 5, Wild Draw 4 ",Yellow 5,this is an illegal move
Green Draw 2," Green 8, Red 8, Wild Draw 4, Blue 7, Red Skip, Yellow Reverse, Yellow 3 ",Yellow Reverse,this is an illegal move
Red 9," Red 6, Blue 4, Yellow 6, Green 0, Green Draw 2, Red 4, Blue 5 ",Green 0,this is an illegal move
Blue 4," Blue 9, Wild Draw 4, Red 1, Blue Reverse, Green 6, Green 8, Yellow 3 ",Green 8,this is an illegal move
Green Draw 2," Green 7, Red 8, Wild Normal, Blue 6, Red Skip, Red 1, Green 7 ",Blue 6,this is an illegal move
Red 0," Green Reverse, Blue 4, Yellow 9, Wild Draw 4, Red 6, Blue 9, Green 9 ",Blue 9,this is an illegal move
Yellow 7," Blue 2, Blue 2, Red 9, Green 5, Yellow 7, Green Reverse, Green 8 ",Blue 2,this is an illegal move
Red 1," Red 2, Blue Draw 2, Yellow 5, Blue 4, Blue 3, Blue 2, Red 2 ",Blue 4,this is an illegal move
Blue 2," Green 7, Green 3, Yellow 9, Yellow Draw 2, Wild Normal, Green 4, Green 2 ",Yellow Draw 2,this is an illegal move
Green 2," Green 8, Yellow 8, Red Skip, Wild Normal, Blue Skip, Yellow 4, Blue Reverse ",Yellow 8,this is an illegal move
Blue 7," Green 3, Yellow 5, Blue 5, Yellow Reverse, Green 2, Yellow 9, Green 1 ",Green 1,this is an illegal move
Blue 4," Yellow 5, Yellow 7, Red 6, Red 2, Red Skip, Green Reverse, Wild Normal ",Yellow 5,this is an illegal move
Blue 4," Green Draw 2, Green Reverse, Green Draw 2, Green Reverse, Green Skip, Yellow Draw 2, Blue Draw 2 ",Green Skip,this is an illegal move
Red 8," Green 2, Red 8, Yellow 5, Yellow 9, Red 2, Yellow 4, Green 6 ",Green 2,this is an illegal move
Blue 0," Blue 2, Yellow Draw 2, Yellow 7, Yellow 2, Red 4, Blue Reverse, Green Skip ",Yellow Draw 2,this is an illegal move
Yellow 6," Green Draw 2, Yellow Reverse, Blue Reverse, Green 6, Red 1, Yellow 3, Blue Draw 2 ",Green Draw 2,this is an illegal move
Blue 4," Yellow 9, Yellow 3, Yellow Reverse, Green 8, Green 3, Green 6, Yellow 5 ",Yellow Reverse,this is an illegal move
Red Draw 2," Red Reverse, Yellow 9, Blue Draw 2, Wild Draw 4, Green 8, Yellow 0, Green 0 ",Green 0,this is an illegal move
Blue 0," Wild Normal, Green Draw 2, Green 2, Blue Reverse, Red Reverse, Green 4, Yellow 8 ",Red Reverse,this is an illegal move
Green 7," Blue Skip, Green Reverse, Wild Normal, Green 1, Blue 9, Green 7, Red 1 ",Blue Skip,this is an illegal move
Yellow 6," Blue 8, Green 0, Yellow 5, Blue 8, Red 7, Blue Skip, Blue 0 ",Blue 8,this is an illegal move
Blue 6," Yellow 3, Red 8, Red 6, Red Reverse, Yellow 3, Red 9, Blue 2 ",Red 9,this is an illegal move
Blue 3," Red 2, Green 6, Green Skip, Yellow 2, Wild Draw 4, Green 2, Yellow Draw 2 ",Green 6,this is an illegal move
Green Reverse," Blue 4, Blue 1, Yellow 1, Blue 3, Green Draw 2, Blue 1, Green 4 ",Blue 1,this is an illegal move
Yellow 1," Wild Normal, Green 3, Blue 9, Red Draw 2, Green 3, Red Reverse, Green 0 ",Green 3,this is an illegal move
Green 7," Blue Reverse, Green 7, Yellow 5, Blue 8, Blue Draw 2, Blue Skip, Wild Normal ",Blue Reverse,this is an illegal move
Yellow 1," Red Draw 2, Wild Draw 4, Green 2, Yellow 7, Green 0, Red 7, Yellow 5 ",Red 7,this is an illegal move
Green 8," Green 0, Blue Skip, Green 8, Green 1, Red 1, Blue 8, Blue 4 ",Blue 4,this is an illegal move
Green 1," Yellow 5, Yellow Skip, Wild Normal, Red Draw 2, Blue 1, Blue 7, Red 7 ",Yellow Skip,this is an illegal move
Red 3," Yellow 4, Yellow 8, Green 6, Blue Draw 2, Yellow Reverse, Green 5, Green 6 ",Yellow Reverse,this is an illegal move
Blue 8," Yellow 8, Green 6, Blue 5, Yellow 3, Green 5, Blue 8, Red 7 ",Yellow 3,this is an illegal move
Blue Draw 2," Wild Draw 4, Blue Draw 2, Blue Skip, Red Skip, Red Skip, Red 2, Blue 4 ",Red Skip,this is an illegal move
